timestamp,latitude,longitude,sog_kts,cog,hdg_true,roll,pitch
2023-06-04T12:21:30.675,37.9160083,-122.4741666,5.900,65.9,60.5,-7.8,4.6
2023-06-04T12:21:30.182,37.9160183,-122.4741416,6.200,69.7,62.3,-2.3,4.2
2023-06-04T12:21:30.683,37.9160250,-122.4741250,5.900,66.5,64.1,-3.8,5.8
2023-06-04T12:21:31.054,37.9160333,-122.4741066,6.100,65.4,66.5,-8.6,3.1
2023-06-04T12:21:31.487,37.9160383,-122.4740933,6.100,67.1,65.4,-6.4,6.2
2023-06-04T12:21:31.989,37.9160433,-122.4740766,6.100,71.1,65.8,-1.6,3.1
2023-06-04T12:21:33.491,37.9160483,-122.4740616,6.100,70.5,70.8,-0.5,5.5
2023-06-04T12:21:33.993,37.9160533,-122.4740450,6.200,69.2,72.0,-6.1,2.2
2023-06-04T12:21:34.493,37.9160583,-122.4740283,6.200,75.6,72.5,-7.2,4.5
2023-06-04T12:21:34.995,37.9160616,-122.4740116,6.000,75.4,75.0,2.6,2.8
2023-06-04T12:21:35.495,37.9160650,-122.4739966,5.900,75.1,77.8,6.8,3.2
2023-06-04T12:21:35.997,37.9160683,-122.4739800,5.800,80.6,78.6,2.4,3.2
2023-06-04T12:21:36.537,37.9160733,-122.4739616,5.700,75.1,76.9,1.4,2.9
2023-06-04T12:21:37.056,37.9160766,-122.4739450,5.900,75.4,77.1,6.1,3.2
2023-06-04T12:21:37.547,37.9160800,-122.4739283,5.800,73.4,73.9,5.1,4.0
2023-06-04T12:21:38.045,37.9160850,-122.4739133,5.700,73.4,76.9,7.4,3.8
2023-06-04T12:21:38.549,37.9160883,-122.4738966,5.700,70.4,76.4,5.0,3.2
2023-06-04T12:21:39.040,37.9160933,-122.4738800,5.700,75.7,74.0,11.6,4.8
2023-06-04T12:21:39.548,37.9160966,-122.4738650,5.600,72.8,74.1,7.4,3.1
2023-06-04T12:21:40.060,37.9160966,-122.4738333,5.600,71.4,69.7,6.7,4.9
2023-06-04T12:21:40.550,37.9160950,-122.4737966,5.800,71.7,69.9,8.9,4.2
2023-06-04T12:21:41.060,37.9160983,-122.4737716,5.900,66.3,68.8,5.8,2.5
2023-06-04T12:21:41.550,37.9161466,-122.4737783,5.900,65.9,68.3,7.4,5.5
2023-06-04T12:21:42.044,37.9161466,-122.4737766,6.000,61.7,69.4,6.1,1.2
2023-06-04T12:21:42.550,37.9161566,-122.4737666,5.900,60.6,64.2,5.7,6.8
2023-06-04T12:21:43.061,37.9161633,-122.4737533,5.800,59.2,68.4,8.2,2.3
2023-06-04T12:21:43.549,37.9161666,-122.4737383,5.900,63.5,63.8,6.4,7.6
2023-06-04T12:21:44.060,37.9161750,-122.4737250,5.900,58.4,65.6,4.8,3.2
2023-06-04T12:21:44.549,37.9161800,-122.4737116,5.900,60.8,63.3,5.9,6.0
2023-06-04T12:21:45.046,37.9161883,-122.4736966,6.000,60.0,65.0,6.3,4.3
2023-06-04T12:21:45.548,37.9161933,-122.4736800,6.200,61.5,63.7,5.6,6.4
2023-06-04T12:21:46.039,37.9162000,-122.4736633,6.300,61.8,65.1,6.0,6.3
2023-06-04T12:21:46.548,37.9162066,-122.4736466,6.500,64.3,63.3,3.7,4.7
